pl_name,pl_altname,st_name,st_spectral_type,st_distance,st_apparent_magnitude,pl_semi_major_axis,pl_eccentricity,pl_orbital_period,pl_angular_distance,pl_periastron_time,pl_inclination,pl_argument_of_periastron,pl_mass,pl_minimum_mass,pl_radius,pl_density,pl_temperature,disc_method,disc_year,disc_facility
WD 1856+534 b,,WD 1856+534,,"ValueWithUncertainty(value=24, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=17, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0204, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.825, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=88, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=13, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.92782585, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=21, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=163, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2020, error_positive=None, error_negative=None, sign=None)",Transiting Exoplanet Survey Satellite (TESS)
Kepler-155 c,,Kepler-155,M0 V,"ValueWithUncertainty(value=293, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=14, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.242, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=52, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.825, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=89, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.0178, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.2, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=286, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2014, error_positive=None, error_negative=None, sign=None)",Kepler
Kepler-184 c,,Kepler-184,,"ValueWithUncertainty(value=610, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=14, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.141, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=20, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.231, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=87, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.028, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.176, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=6, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=630, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2014, error_positive=None, error_negative=None, sign=None)",Kepler
TOI-1244 b,,TOI-1244,,"ValueWithUncertainty(value=102, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=11, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.060694, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=6, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.592, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=90, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.02076592, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.22009138, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=714, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2024, error_positive=None, error_negative=None, sign=None)",Transiting Exoplanet Survey Satellite (TESS)
KOI-351 b,,KOI-351,,"ValueWithUncertainty(value=848, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=13, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.074, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=7, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0872, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=89, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.00714, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.117, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=5, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1062, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2013, error_positive=None, error_negative=None, sign=None)",Kepler
Kepler-385 d,,Kepler-385,,"ValueWithUncertainty(value=1432, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=15, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.2872, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=56, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.2, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=87, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.0232, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.23361984, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=535, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2020, error_positive=None, error_negative=None, sign=None)",Kepler
OGLE-2008-BLG-355L b,,OGLE-2008-BLG-355L,,"ValueWithUncertainty(value=6800, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.25, error_positive=None, error_negative=None, sign=None)",,,,"ValueWithUncertainty(value=4, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=3, error_positive=None, error_negative=None, sign=None)",,Microlensing,"ValueWithUncertainty(value=2014, error_positive=None, error_negative=None, sign=None)",OGLE
HD 45184 c,,HD 45184,G1.5 V,"ValueWithUncertainty(value=21, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=6, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.11, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.07, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=13, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=5, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2455497, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=-197, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0277, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0277, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.26, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)",,Radial Velocity,"ValueWithUncertainty(value=2019, error_positive=None, error_negative=None, sign=None)",La Silla Observatory
OGLE-2014-BLG-0319L b,,OGLE-2014-BLG-0319L,M,"ValueWithUncertainty(value=7730, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=3, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.451, error_positive=None, error_negative=None, sign=None)",,,,"ValueWithUncertainty(value=0.57, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.355, error_positive=None, error_negative=None, sign=None)",,Microlensing,"ValueWithUncertainty(value=2022, error_positive=None, error_negative=None, sign=None)",OGLE
KMT-2019-BLG-0297L b,,KMT-2019-BLG-0297L,,"ValueWithUncertainty(value=3090, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.96, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.311, error_positive=None, error_negative=None, sign=None)",,,,"ValueWithUncertainty(value=19, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=18, error_positive=None, error_negative=None, sign=None)",,Microlensing,"ValueWithUncertainty(value=2023, error_positive=None, error_negative=None, sign=None)",KMTNet
