pl_name,pl_altname,st_name,st_spectral_type,st_distance,st_apparent_magnitude,pl_semi_major_axis,pl_eccentricity,pl_orbital_period,pl_angular_distance,pl_periastron_time,pl_inclination,pl_argument_of_periastron,pl_mass,pl_minimum_mass,pl_radius,pl_density,pl_temperature,disc_method,disc_year,disc_facility
KMT-2016-BLG-1836L b,,KMT-2016-BLG-1836L,,"ValueWithUncertainty(value=7100, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=3, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.493, error_positive=None, error_negative=None, sign=None)",,,,"ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)",,Microlensing,"ValueWithUncertainty(value=2019, error_positive=None, error_negative=None, sign=None)",KMTNet
Kepler-249 b,,Kepler-249,M2 V,"ValueWithUncertainty(value=190, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=16, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.035, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=3, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.184, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=90, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.00416, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.097, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=5, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=554, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2014, error_positive=None, error_negative=None, sign=None)",Kepler
GJ 581 e,,GJ 581,M3.0 V,"ValueWithUncertainty(value=6, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=10, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.02799, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.012, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=3, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=4, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2454716, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=47, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=226, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.00780295, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0053, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.123, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=5, error_positive=None, error_negative=None, sign=None)",,Radial Velocity,"ValueWithUncertainty(value=2009, error_positive=None, error_negative=None, sign=None)",La Silla Observatory
HD 125612 d,,HD 125612,G3 V,"ValueWithUncertainty(value=57, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=8, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=3, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.115, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2822, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=69, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2451711, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=88, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=315, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=7, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=7, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=6, error_positive=None, error_negative=None, sign=None)",,Radial Velocity,"ValueWithUncertainty(value=2009, error_positive=None, error_negative=None, sign=None)",La Silla Observatory
Kepler-507 b,,Kepler-507,,"ValueWithUncertainty(value=391, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=12, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.04781, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=3, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.122, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=85, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.01792452, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.01792452101, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.11597823, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=14, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1407, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2016, error_positive=None, error_negative=None, sign=None)",Kepler
MOA-2008-BLG-379L b,,MOA-2008-BLG-379L,K,"ValueWithUncertainty(value=3300, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.818, error_positive=None, error_negative=None, sign=None)",,,,"ValueWithUncertainty(value=4, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=3, error_positive=None, error_negative=None, sign=None)",,Microlensing,"ValueWithUncertainty(value=2013, error_positive=None, error_negative=None, sign=None)",MOA
HD 125595 b,,HD 125595,K4 V,"ValueWithUncertainty(value=28, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=9, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.08, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=9, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2454435, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.02, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.02, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.214, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)",,Radial Velocity,"ValueWithUncertainty(value=2009, error_positive=None, error_negative=None, sign=None)",La Silla Observatory
CoRoT-24 b,,CoRoT-24,K1 V,"ValueWithUncertainty(value=591, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=15, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.056, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=5, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0947, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=86, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.018, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.33, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.9, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1070, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2014, error_positive=None, error_negative=None, sign=None)",CoRoT
HD 30562 b,,HD 30562,G2 IV,"ValueWithUncertainty(value=26, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=5, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.76, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1157, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=89, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2450131, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=65, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=78, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)",,Radial Velocity,"ValueWithUncertainty(value=2009, error_positive=None, error_negative=None, sign=None)",Lick Observatory
HD 106315 b,,HD 106315,F5 V,"ValueWithUncertainty(value=109, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=8, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0907, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.093, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=9, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.829, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=87, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=239, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.03964383, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.21768222, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=4, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1153, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2017, error_positive=None, error_negative=None, sign=None)",K2
2MASS J02192210-3925225 b,,2MASS J02192210-3925225,M6,"ValueWithUncertainty(value=40, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=156, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=3890, error_positive=None, error_negative=None, sign=None)",,,,"ValueWithUncertainty(value=13, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=5, error_positive=None, error_negative=None, sign=None)",,Imaging,"ValueWithUncertainty(value=2015, error_positive=None, error_negative=None, sign=None)",Cerro Tololo Inter-American Observatory
GJ 3988 b,,GJ 3988,M4.5 V,"ValueWithUncertainty(value=9, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=13, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0405, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=6, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=4, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2457509, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.01161004, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0116100383689114, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.156, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=3, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=348, error_positive=None, error_negative=None, sign=None)",Radial Velocity,"ValueWithUncertainty(value=2023, error_positive=None, error_negative=None, sign=None)",Calar Alto Observatory
HATS-48 A b,,HATS-48 A,,"ValueWithUncertainty(value=263, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=14, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.03769, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.162, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=3, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.143, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=89, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.243, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.8, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.589, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=954, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2020, error_positive=None, error_negative=None, sign=None)",HATSouth
bet Cnc b,,bet Cnc,K4 III,"ValueWithUncertainty(value=89, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=3, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.08, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=605, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=19, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2453229, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=58, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=7, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=7, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=6, error_positive=None, error_negative=None, sign=None)",,Radial Velocity,"ValueWithUncertainty(value=2014, error_positive=None, error_negative=None, sign=None)",Bohyunsan Optical Astronomical Observatory
Kepler-1279 b,,Kepler-1279,,"ValueWithUncertainty(value=1494, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=14, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.1785, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=23, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.119, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=89, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.0117, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.15612454, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=3, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=738, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2016, error_positive=None, error_negative=None, sign=None)",Kepler
Kepler-1642 c,,Kepler-1642,,"ValueWithUncertainty(value=413, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=14, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0678, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=6, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.164, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=89, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.0238, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.23730931, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1095, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2016, error_positive=None, error_negative=None, sign=None)",Kepler
TOI-4184 b,,TOI-4184,M5.5+/-0.5,"ValueWithUncertainty(value=69, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=17, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0336, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=4, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.484, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=89, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.0204, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.21679045, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=412, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2023, error_positive=None, error_negative=None, sign=None)",Transiting Exoplanet Survey Satellite (TESS)
TOI-4551 b,,TOI-4551,,"ValueWithUncertainty(value=215, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=9, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0994, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.101, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=9, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.46, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=86, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1655, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2023, error_positive=None, error_negative=None, sign=None)",Transiting Exoplanet Survey Satellite (TESS)
Kepler-1538 b,,Kepler-1538,,"ValueWithUncertainty(value=1125, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=15, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.6095, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=175, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.542, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=89, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.0263, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.25158355, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=346, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2016, error_positive=None, error_negative=None, sign=None)",Kepler
TCP J05074264+2447555 b,,TCP J05074264+2447555,,"ValueWithUncertainty(value=505, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=14, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.94, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)",,,,"ValueWithUncertainty(value=0.06292704, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.421, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)",,Microlensing,"ValueWithUncertainty(value=2018, error_positive=None, error_negative=None, sign=None)",Multiple Observatories
GJ 3138 b,,GJ 3138,M0,"ValueWithUncertainty(value=28, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=10, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0197, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.19, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.692, error_positive=None, error_negative=None, sign=None)",,,,"ValueWithUncertainty(value=0.00560048, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0056004782430859, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.106, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=5, error_positive=None, error_negative=None, sign=None)",,Radial Velocity,"ValueWithUncertainty(value=2017, error_positive=None, error_negative=None, sign=None)",La Silla Observatory
