pl_name,pl_altname,st_name,st_spectral_type,st_distance,st_apparent_magnitude,pl_semi_major_axis,pl_eccentricity,pl_orbital_period,pl_angular_distance,pl_periastron_time,pl_inclination,pl_argument_of_periastron,pl_mass,pl_minimum_mass,pl_radius,pl_density,pl_temperature,disc_method,disc_year,disc_facility
HAT-P-68 b,,HAT-P-68,K,"ValueWithUncertainty(value=202, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=13, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.02996, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.041, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.148, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=88, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.724, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.727, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1027, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2020, error_positive=None, error_negative=None, sign=None)",HATNet
WASP-45 b,,WASP-45,K2 V,"ValueWithUncertainty(value=211, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=11, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.03963, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.043, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=3, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.188, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=85, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.964, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.961, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.946, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1153, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2011, error_positive=None, error_negative=None, sign=None)",SuperWASP
K2-415 b,,K2-415,M5 V,"ValueWithUncertainty(value=21, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=15, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.027, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=4, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=89, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.02359764, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.09055239, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=412, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2023, error_positive=None, error_negative=None, sign=None)",K2
Kepler-1130 d,,Kepler-1130,,"ValueWithUncertainty(value=249, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=12, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.05068, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=4, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.203, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=85, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.000634, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.05751841, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=4, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=981, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2021, error_positive=None, error_negative=None, sign=None)",Kepler
Kepler-217 b,,Kepler-217,,"ValueWithUncertainty(value=1104, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=13, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.065, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=5, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0588, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=88, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.0176, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.199, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1413, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2014, error_positive=None, error_negative=None, sign=None)",Kepler
HD 143361 b,,HD 143361,G6 V,"ValueWithUncertainty(value=68, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=9, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.197, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1039, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=29, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2456805, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=50, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=241, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=4, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=3, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=3, error_positive=None, error_negative=None, sign=None)",,Radial Velocity,"ValueWithUncertainty(value=2008, error_positive=None, error_negative=None, sign=None)",Las Campanas Observatory
OGLE-2019-BLG-0468L c,,OGLE-2019-BLG-0468L,G,"ValueWithUncertainty(value=4400, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.63, error_positive=None, error_negative=None, sign=None)",,,,"ValueWithUncertainty(value=10, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=9, error_positive=None, error_negative=None, sign=None)",,Microlensing,"ValueWithUncertainty(value=2022, error_positive=None, error_negative=None, sign=None)",OGLE
Kepler-693 b,,Kepler-693,,"ValueWithUncertainty(value=1151, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=16, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.1121, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=15, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0974, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=88, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.232, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.90819877, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.384, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=600, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2016, error_positive=None, error_negative=None, sign=None)",Kepler
HD 117207 b,,HD 117207,G7 IV-V,"ValueWithUncertainty(value=32, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=7, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=3, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.157, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2621, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=117, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2455978, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=76, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=90, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)",,Radial Velocity,"ValueWithUncertainty(value=2004, error_positive=None, error_negative=None, sign=None)",W. M. Keck Observatory
BD+63 1405 b,,BD+63 1405,K0,"ValueWithUncertainty(value=38, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=8, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.88, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1198, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=54, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2455771, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=5, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=94, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=10, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=3, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=9, error_positive=None, error_negative=None, sign=None)",,Radial Velocity,"ValueWithUncertainty(value=2021, error_positive=None, error_negative=None, sign=None)",Haute-Provence Observatory
Kepler-595 b,,Kepler-595,,"ValueWithUncertainty(value=643, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=15, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.1582, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=25, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.246, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=89, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.05474625, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.3308056, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=535, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2016, error_positive=None, error_negative=None, sign=None)",Kepler
K2-79 b,,K2-79,,"ValueWithUncertainty(value=256, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=12, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0988, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.23, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=10, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.386, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=88, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.02894644, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.36488599, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.73, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1022, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2016, error_positive=None, error_negative=None, sign=None)",K2
Kepler-1936 b,,Kepler-1936,,"ValueWithUncertainty(value=871, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=13, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.52662, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=126, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.605, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=88, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.032, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.282466, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=524, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2021, error_positive=None, error_negative=None, sign=None)",Kepler
Kepler-984 b,,Kepler-984,,"ValueWithUncertainty(value=460, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=13, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.23688, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=43, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.515, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=88, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.0162, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.18913373, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=484, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2016, error_positive=None, error_negative=None, sign=None)",Kepler
HD 160691 e,,HD 160691,G3 IV-V,"ValueWithUncertainty(value=15, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=5, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.934, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0666, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=307, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=59, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2452720, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=60, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=193, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=7, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.48, error_positive=None, error_negative=None, sign=None)",,,,Radial Velocity,"ValueWithUncertainty(value=2006, error_positive=None, error_negative=None, sign=None)",La Silla Observatory
HD 8535 b,,HD 8535,G0 V,"ValueWithUncertainty(value=55, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=7, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.15, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1313, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=44, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2454537, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=61, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.68, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.68, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.433, error_positive=None, error_negative=None, sign=None)",,Radial Velocity,"ValueWithUncertainty(value=2010, error_positive=None, error_negative=None, sign=None)",La Silla Observatory
XO-6 b,,XO-6,F5,"ValueWithUncertainty(value=235, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=10, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0815, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=3, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.346, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=86, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=4, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.62, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1577, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2016, error_positive=None, error_negative=None, sign=None)",XO
HD 21411 b,,HD 21411,G8 V,"ValueWithUncertainty(value=29, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=7, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.362, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.4, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=84, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=12, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=332, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.20734355, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.207343548437844, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.85, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.42, error_positive=None, error_negative=None, sign=None)",,Radial Velocity,"ValueWithUncertainty(value=2019, error_positive=None, error_negative=None, sign=None)",Las Campanas Observatory
Kepler-679 b,,Kepler-679,,"ValueWithUncertainty(value=922, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=15, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0983, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=12, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.107, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=86, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.0293, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.26853421, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=677, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2016, error_positive=None, error_negative=None, sign=None)",Kepler
K2-55 b,,K2-55,,"ValueWithUncertainty(value=159, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=13, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.03486, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.07, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.219, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=88, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=23, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.044, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.34079757, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=912, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2016, error_positive=None, error_negative=None, sign=None)",K2
TOI-6038 A b,,TOI-6038 A,,"ValueWithUncertainty(value=179, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=9, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.069, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=5, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.385, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=88, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.24698862, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.246044715568801, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.57186288, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1439, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2025, error_positive=None, error_negative=None, sign=None)",Transiting Exoplanet Survey Satellite (TESS)
Kepler-1870 b,,Kepler-1870,,"ValueWithUncertainty(value=407, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=13, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0452, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=3, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.111, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=86, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.0159, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.18747803, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=3, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1046, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2021, error_positive=None, error_negative=None, sign=None)",Kepler
Kepler-814 b,,Kepler-814,,"ValueWithUncertainty(value=2055, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=14, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0695, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=6, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0338, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=89, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.0162, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.18913373, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1164, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2016, error_positive=None, error_negative=None, sign=None)",Kepler
HD 147873 c,,HD 147873,G1 V,"ValueWithUncertainty(value=109, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=7, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.23, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=491, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=12, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=41, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)",,Radial Velocity,"ValueWithUncertainty(value=2016, error_positive=None, error_negative=None, sign=None)",Multiple Observatories
Kepler-797 b,,Kepler-797,,"ValueWithUncertainty(value=1315, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=14, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.181, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=27, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.138, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=89, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.0168, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.19359443, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=605, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2016, error_positive=None, error_negative=None, sign=None)",Kepler
OGLE-2017-BLG-0373L b,,OGLE-2017-BLG-0373L,,"ValueWithUncertainty(value=5915, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.41, error_positive=None, error_negative=None, sign=None)",,,,"ValueWithUncertainty(value=0.401, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.254, error_positive=None, error_negative=None, sign=None)",,Microlensing,"ValueWithUncertainty(value=2018, error_positive=None, error_negative=None, sign=None)",OGLE
HD 212301 b,,HD 212301,F8 V,"ValueWithUncertainty(value=54, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=7, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.03, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.553, error_positive=None, error_negative=None, sign=None)",,,,"ValueWithUncertainty(value=0.51, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.51, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.311, error_positive=None, error_negative=None, sign=None)",,Radial Velocity,"ValueWithUncertainty(value=2005, error_positive=None, error_negative=None, sign=None)",La Silla Observatory
GJ 317 c,,GJ 317,M2.5 V,"ValueWithUncertainty(value=15, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=12, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=5, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.17, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=6739, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=344, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2449804, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=108, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)",,Radial Velocity,"ValueWithUncertainty(value=2018, error_positive=None, error_negative=None, sign=None)",W. M. Keck Observatory
Kepler-396 b,,Kepler-396,,"ValueWithUncertainty(value=223, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=12, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.24067, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=42, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=89, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.238, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.312, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=9, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=496, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2013, error_positive=None, error_negative=None, sign=None)",Kepler
BD+48 740 b,,BD+48 740,K3 III,"ValueWithUncertainty(value=666, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=8, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.76, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=733, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2454774, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=100, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)",,Radial Velocity,"ValueWithUncertainty(value=2018, error_positive=None, error_negative=None, sign=None)",Multiple Observatories
