pl_name,pl_altname,st_name,st_spectral_type,st_distance,st_apparent_magnitude,pl_semi_major_axis,pl_eccentricity,pl_orbital_period,pl_angular_distance,pl_periastron_time,pl_inclination,pl_argument_of_periastron,pl_mass,pl_minimum_mass,pl_radius,pl_density,pl_temperature,disc_method,disc_year,disc_facility
Kepler-616 d,,Kepler-616,,"ValueWithUncertainty(value=945, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=15, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.2749, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=51, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.291, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=89, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.0237, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.23668521, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=499, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2021, error_positive=None, error_negative=None, sign=None)",Kepler
Kepler-1650 b,,Kepler-1650,,"ValueWithUncertainty(value=134, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=17, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0167, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.01, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.124, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=77, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.00264, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.08564546, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=5, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=602, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2017, error_positive=None, error_negative=None, sign=None)",Kepler
Kepler-1987 c,,Kepler-1987,,"ValueWithUncertainty(value=595, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=15, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0427, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=3, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0717, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=89, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.00733, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.11865486, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=5, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=860, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2023, error_positive=None, error_negative=None, sign=None)",Kepler
Kepler-296 b,,Kepler-296,M2 V,"ValueWithUncertainty(value=167, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=16, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.079, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.33, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=10, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.473, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=88, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.0101, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.14363458, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=3, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=495, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2014, error_positive=None, error_negative=None, sign=None)",Kepler
Kepler-823 b,,Kepler-823,,"ValueWithUncertainty(value=1389, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=15, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0507, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=4, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0365, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=85, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.00972, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.14006602, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=4, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1277, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2016, error_positive=None, error_negative=None, sign=None)",Kepler
OGLE-2006-BLG-284L A b,,OGLE-2006-BLG-284L A,,"ValueWithUncertainty(value=4000, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.542, error_positive=None, error_negative=None, sign=None)",,,,"ValueWithUncertainty(value=0.45307467, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.271, error_positive=None, error_negative=None, sign=None)",,Microlensing,"ValueWithUncertainty(value=2020, error_positive=None, error_negative=None, sign=None)",OGLE
TOI-5153 b,,TOI-5153,F8 V,"ValueWithUncertainty(value=390, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=11, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.158, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.091, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=20, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.405, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=88, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=144, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=3, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=3, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=906, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2022, error_positive=None, error_negative=None, sign=None)",Transiting Exoplanet Survey Satellite (TESS)
HD 141399 e,,HD 141399,K0,"ValueWithUncertainty(value=37, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=7, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=5, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.26, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=5000, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=135, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2458900, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=-10, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.66, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.66, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.411, error_positive=None, error_negative=None, sign=None)",,Radial Velocity,"ValueWithUncertainty(value=2014, error_positive=None, error_negative=None, sign=None)",Multiple Observatories
Kepler-1193 b,,Kepler-1193,,"ValueWithUncertainty(value=802, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=13, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.04004, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0499, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=87, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.00724, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.11776251, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=5, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1453, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2016, error_positive=None, error_negative=None, sign=None)",Kepler
K2-199 c,,K2-199,,"ValueWithUncertainty(value=107, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=12, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0662, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.03, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=7, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.616, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=87, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=170, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.03901476, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.25426041, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=694, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2018, error_positive=None, error_negative=None, sign=None)",K2
Kepler-523 b,,Kepler-523,,"ValueWithUncertainty(value=253, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=12, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.06159, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=5, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.243, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=89, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.0142, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.17485949, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=3, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=884, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2016, error_positive=None, error_negative=None, sign=None)",Kepler
LP 791-18 d,,LP 791-18,M(6.1 +/- 0.7) V,"ValueWithUncertainty(value=26, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=16, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.01992, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0015, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.752, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=89, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.00283172, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.09206903, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=4, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=395, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2023, error_positive=None, error_negative=None, sign=None)",Spitzer Space Telescope
gam1 Leo b,,gam1 Leo,K1 IIIb Fe-0.5,"ValueWithUncertainty(value=39, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.144, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=428, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=29, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2451236, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=206, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=8, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=8, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=7, error_positive=None, error_negative=None, sign=None)",,Radial Velocity,"ValueWithUncertainty(value=2009, error_positive=None, error_negative=None, sign=None)",Bohyunsan Optical Astronomical Observatory
TOI-3493 b,,TOI-3493,G1/2 V,"ValueWithUncertainty(value=96, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=9, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=8, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=89, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.02822278, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.28726965, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1102, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2025, error_positive=None, error_negative=None, sign=None)",Transiting Exoplanet Survey Satellite (TESS)
