name,host_star,discovery_year,discovery_method,mass,mass_error_min,mass_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,equilibrium_temperature,equilibrium_temperature_error_min,equilibrium_temperature_error_max,source,last_updated
TOI-5786 b,TOI-5786,2025.0,Transit,73.0,9.0,-9.0,8.54,0.13,-0.13,12.779107,1.5e-05,-1.5e-05,0.114,0.007,-0.007,,,,88.9,0.4,-0.4,1040.0,40.0,-40.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-1859 b,TOI-1859,2023.0,Transit,68.6,,,9.75181321,0.78462865,-0.78462865,63.48347,0.0001,-0.0001,0.337,0.044,-0.036,0.57,0.12,-0.16,88.64,0.38,-0.28,615.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-2406 b,TOI-2406,2021.0,Transit,15.6,,,2.86,0.063,-0.069,3.0766891,2.4e-06,-2.4e-06,0.02267,0.00071,-0.00071,0.17,0.11,-0.05,89.8,0.14,-0.19,449.0,7.0,-7.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
OGLE-2019-BLG-0304L b,OGLE-2019-BLG-0304L,2021.0,Microlensing,162.09248757,162.09248757,-73.10053361,14.2,,,,,,1.23,1.39,-1.07,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
GJ 3138 b,GJ 3138,2017.0,Radial Velocity,1.78,0.34,-0.33,1.18,,,1.22003,6e-05,-4e-05,0.0197,0.0005,-0.0005,0.19,0.18,-0.13,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 148164 b,HD 148164,2018.0,Radial Velocity,390.9309,79.4575,-79.4575,13.7,,,328.55,0.41,-0.41,0.993,0.066,-0.066,0.587,0.026,-0.026,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
EPIC 228836835 b,EPIC 228836835,2021.0,Transit,1.37,,,1.1,0.3,-0.2,0.728113,6.3e-05,-6.3e-05,,,,,,,89.7,7.0,-5.0,932.0,17.0,-17.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-270 c,K2-270,2018.0,Transit,9.01,,,2.95,0.16,-0.16,4.400028,0.000169,-0.000178,0.0497,0.0004,-0.0004,,,,,,,848.0,12.0,-12.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 24064 b,HD 24064,2015.0,Radial Velocity,4096.8287,918.5287,-918.5287,12.3,,,535.59998,3.0,-3.0,1.29,0.04,-0.04,0.35,0.08,-0.08,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
KMT-2017-BLG-0165L b,KMT-2017-BLG-0165L,2018.0,Microlensing,34.0,15.0,-12.0,6.45,,,,,,3.45,0.98,-0.95,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
BD-06 1339 b,BD-06 1339,2013.0,Radial Velocity,8.5,1.3,-1.3,2.85,,,3.8728,0.0004,-0.0004,0.0428,0.0007,-0.0007,0.0,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-1102 b,Kepler-1102,2016.0,Transit,7.56,,,2.66,0.53,-0.23,51.3285623,0.0003326,-0.0003326,0.2731,,,0.0,,,89.06,,,546.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-1194 b,Kepler-1194,2016.0,Transit,2.89,,,1.51,0.12,-0.09,16.22371307,8.867e-05,-8.867e-05,0.1212,,,0.0,,,89.48,,,676.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-1198 b,Kepler-1198,2016.0,Transit,2.76,,,1.47,0.18,-0.1,7.6847716,3.25e-05,-3.25e-05,0.0732,,,0.0,,,89.89,,,830.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-146 c,K2-146,2019.0,Transit,7.49,0.24,-0.24,2.19,0.07,-0.07,4.00498,0.00011,-0.00011,0.0327,0.0006,-0.0006,0.075,0.016,-0.016,87.54,0.04,-0.04,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
