name,host_star,discovery_year,discovery_method,mass,mass_error_min,mass_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,equilibrium_temperature,equilibrium_temperature_error_min,equilibrium_temperature_error_max,source,last_updated
OGLE-2016-BLG-1227L b,OGLE-2016-BLG-1227L,2020.0,Microlensing,250.0,413.0,-120.0,13.9,,,,,,3.4,2.1,-1.0,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HAT-P-3 b,HAT-P-3,2007.0,Transit,206.5895,34.9613,-34.9613,10.53646,0.78463,-0.78463,2.8997,5.4e-05,-5.4e-05,0.03866,0.00041,-0.00041,0.0,,,87.24,0.69,-0.69,1189.0,16.0,-16.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-1065 b,Kepler-1065,2016.0,Transit,13.4,,,3.73,0.64,-0.36,3.609308907,5.102e-06,-5.102e-06,0.0455,,,0.0,,,88.42,,,1092.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 132406 b,HD 132406,2007.0,Radial Velocity,1887.90073758,206.58846455,-187.51876013,12.8,,,908.0,16.0,-16.0,1.98,0.06,-0.06,0.25,0.063,-0.075,122.0,14.0,-14.0,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-1260 c,TOI-1260,2021.0,Transit,13.2,4.23,-4.23,2.76,0.07,-0.07,7.493134,2e-05,-2e-05,0.0657,0.002,-0.002,0.0,,,87.97,0.11,-0.11,651.0,18.0,-18.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 149143 b,HD 149143,2005.0,Radial Velocity,422.7139,47.6745,-47.6745,13.6,,,4.07182,1e-05,-1e-05,0.053,0.0029,-0.0029,0.0167,0.004,-0.004,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 99492 b,HD 99492,2004.0,Radial Velocity,25.5,0.6,-0.6,5.44,,,17.0503,0.0016,-0.0016,0.12,0.0,0.0,0.034,0.025,-0.021,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
nu Oph c,nu Oph,2012.0,Radial Velocity,7838.32346,,,12.0,,,3180.6,5.01,-4.52,5.829,0.006,-0.006,0.179,0.007,-0.005,90.0,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
75 Cet b,75 Cet,2012.0,Radial Velocity,787.89662095,23.51930212,-28.60455663,13.3,,,696.62,1.33,-1.69,1.912,0.002,-0.003,0.093,0.026,-0.042,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
gam Lib b,gam Lib,2018.0,Radial Velocity,357.87478628,32.10066911,-34.32546796,13.7,,,414.88,1.24,-1.47,1.319,0.003,-0.003,0.16,0.071,-0.107,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 113337 b,HD 113337,2013.0,Radial Velocity,1035.80277841,119.82130944,-129.99181846,13.1,,,317.58639,1.62423,-1.4301,1.022,0.055,-0.062,0.28,0.036,-0.041,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 28109 c,HD 28109,2022.0,Transit,7.943,4.227,-3.046,4.23,0.11,-0.11,56.00819,0.00194,-0.00202,0.308,0.011,-0.011,0.1203,,,89.543,0.093,-0.086,585.2,8.7,-8.3,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-350 b,K2-350,2021.0,Transit,2.99,,,1.54,0.15,-0.11,4.163873,2.2e-05,-2.3e-05,,,,,,,,,,1158.0,29.0,-34.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-342 b,K2-342,2021.0,Transit,4.78,,,2.03,0.13,-0.09,11.561052,0.00069,-0.000668,,,,,,,,,,861.0,14.0,-15.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
EPIC 212587672 b,EPIC 212587672,2019.0,Transit,2.13,,,1.26,0.11,-0.09,15.28078,0.000121,-0.000116,,,,,,,,,,756.0,14.0,-15.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-332 b,K2-332,2021.0,Transit,5.48,,,2.2,0.19,-0.15,17.70632,6.3e-05,-6.3e-05,,,,,,,,,,266.0,5.0,-8.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-340 b,K2-340,2021.0,Transit,11.2,,,3.36,0.44,-0.32,29.740451,0.000169,-0.000161,,,,,,,,,,606.0,31.0,-36.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HR 8799 d,HR 8799,2008.0,Imaging,3000.0,1000.0,-1000.0,13.0,1.0,0.0,37000.0,,,24.0,,,0.6,,,38.63,2.84,-2.84,1300.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 25463 c,HD 25463,2023.0,Transit,4.3,1.9,-1.9,1.36354953,0.13045621,-0.09615242,3.04405,1e-05,-1e-05,0.0443,0.0008,-0.0008,0.0,,,,,,1585.57,25.67,-23.61,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HIP 12961 b,HIP 12961,2010.0,Radial Velocity,114.4188,22.2481,-22.2481,13.2,,,57.435,0.042,-0.042,0.25,0.01,-0.01,0.17,0.03,-0.03,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 11755 b,HD 11755,2015.0,Radial Velocity,1789.3829,292.4036,-292.4036,12.8,,,433.70001,3.2,-3.2,1.09,0.04,-0.04,0.19,0.1,-0.1,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 29985 b,HD 29985,2022.0,Radial Velocity,1739.47487151,617.85842321,-367.7274669,12.8,,,20608.14049,4708.95644,-7737.11195,13.39,2.071,-3.68,0.261,0.144,-0.169,52.658,32.134,-27.013,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 115954 b,HD 115954,2021.0,Radial Velocity,2685.65003915,193.87532827,-146.20106722,12.6,,,3700.0,1500.0,-390.0,5.0,1.3,-0.36,0.487,0.095,-0.041,79.0,7.7,-11.0,144.9,8.1,-13.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HIP 97233 b,HIP 97233,2014.0,Radial Velocity,6098.17364511,1157.8488867,-102.97640387,12.1,,,1062.26506,8.8071,-9.63078,2.491,0.049,-0.051,0.63,0.044,-0.042,86.083,20.58,-20.89,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 95872 b,HD 95872,2015.0,Radial Velocity,1188.6842,295.5819,-295.5819,13.0,,,4375.0,170.0,-170.0,5.15,0.16,-0.16,0.06,0.04,-0.04,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
OGLE-2015-BLG-0966L b,OGLE-2015-BLG-0966L,2016.0,Microlensing,21.0,2.0,-2.0,4.86,,,,,,2.7,,,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Teegarden's Star c,Teegarden's Star,2019.0,Radial Velocity,1.05,0.14,-0.13,1.02,,,11.416,0.003,-0.003,0.0455,0.0015,-0.0016,0.04,0.07,-0.03,,,,209.0,4.0,-4.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-1470 b,TOI-1470,2023.0,Transit,7.32,1.21,-1.24,2.18,0.04,-0.04,2.527093,4e-06,-3e-06,0.0285,0.0004,-0.0004,0.3,,,87.42,0.12,-0.12,734.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HR 810 b,HR 810,1999.0,Radial Velocity,1970.5361234,158.9142035,-158.9142035,12.7,,,302.79999,2.3,-2.3,0.92,0.02,-0.02,0.14,0.13,-0.13,87.0,6.0,-6.0,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 97658 b,HD 97658,2010.0,Radial Velocity,8.3,1.1,-1.1,2.12,0.06,-0.06,9.4897116,8e-07,-8e-07,0.0805,0.001,-0.0011,0.05,0.04,-0.03,89.05,0.41,-0.24,751.0,12.0,-12.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
LTT 3780 b,LTT 3780,2020.0,Transit,2.46,0.19,-0.19,1.325,0.057,-0.058,0.76837931,3.9e-07,-4.2e-07,0.01195,0.00028,-0.00029,0.0,,,86.1,0.92,-0.68,903.0,26.0,-26.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HIP 41378 c,HIP 41378,2016.0,Transit,7.08,,,2.56,0.4,-0.4,31.70648,0.00024,-0.00019,,,,,,,87.5,2.2,-1.4,696.5,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 86728 b,HD 86728,2025.0,Radial Velocity,9.43,0.56,-0.57,3.03,,,31.1515,0.0059,-0.0066,0.1916,0.00066,-0.00065,0.067,0.065,-0.046,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-174 b,K2-174,2018.0,Transit,7.27,,,2.6,0.1,-0.1,19.562307,7.8e-05,-7.6e-05,0.126,0.001,-0.001,,,,89.95,0.04,-0.05,455.0,5.0,-5.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-2180 b,TOI-2180,2022.0,Transit,875.61726129,27.65107141,-25.74410097,11.32107051,0.24659758,-0.21297063,260.79,0.59,-0.58,0.828,0.012,-0.012,0.3683,0.0073,-0.0073,89.955,0.032,-0.044,348.0,3.3,-3.6,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-1899 b,TOI-1899,2020.0,Transit,212.94503269,12.71313628,-12.71313628,11.09689089,0.33626942,-0.33626942,29.090312,3.6e-05,-3.5e-05,0.1525,0.0065,-0.006,0.044,0.029,-0.027,89.64,0.07,-0.08,378.0,8.0,-7.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 22946 d,HD 22946,2023.0,Transit,26.57,,,2.607,0.06,-0.06,47.42489,0.0001,-0.00011,0.2958,0.0044,-0.0042,,,,,,,546.0,6.0,-6.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Qatar-3 b,Qatar-3,2017.0,Transit,1369.8473,149.3801,-149.3801,12.285064,1.56926,-1.56926,2.5079204,,,0.03783,0.00069,-0.00069,0.0,,,86.8,2.0,-2.0,1681.0,84.0,-84.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
WASP-159 b,WASP-159,2018.0,Transit,174.8065,25.4264,-25.4264,15.46842,1.00881,-1.00881,3.840401,7e-06,-7e-06,0.0538,0.0015,-0.0015,0.0,,,88.1,1.4,-1.4,1850.0,50.0,-50.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
WASP-7 b,WASP-7,2008.0,Transit,305.1168,41.3179,-41.3179,14.90797,1.042437,-1.042437,4.9546416,3.5e-06,-3.5e-06,0.0617,0.0011,-0.0011,0.034,0.045,-0.024,87.03,0.93,-0.93,1487.0,48.0,-48.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
tau Cet e,tau Cet,2017.0,Radial Velocity,3.93,0.83,-0.64,1.81,,,162.87,1.08,-0.46,0.538,0.06,-0.06,0.18,0.18,-0.14,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-1465 b,Kepler-1465,2016.0,Transit,3.78,,,1.77,0.35,-0.19,31.8277111,0.0001219,-0.0001219,0.1939,,,0.0,,,89.54,,,668.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-150 b,K2-150,2018.0,Transit,4.66,,,2.0,0.27,-0.21,10.59357,0.00084,-0.00084,0.0727,0.0027,-0.0027,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
NSVS 14256825 b,NSVS 14256825,2019.0,Eclipse Timing Variations,4497.2945,50.8528,-50.8528,12.3,,,3225.0,22.0,-22.0,3.12,0.07,-0.07,0.12,0.02,-0.02,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-1665 b,Kepler-1665,2020.0,Transit,8.44,,,2.83910787,,,11.9548,,,0.096,0.00114,-0.00114,0.0,,,89.03,,,906.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
KOI-4978 b,KOI-4978,2024.0,Transit,0.271,,,0.7,0.1,-0.1,0.941967,3e-06,-3e-06,,,,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-1332 b,Kepler-1332,2016.0,Transit,2.45,,,1.37,0.09,-0.05,11.87456832,3.749e-05,-3.749e-05,0.09915,0.00126,-0.00126,0.0,,,89.41,,,728.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-1484 b,Kepler-1484,2016.0,Transit,5.1,,,2.11,0.3,-0.22,30.4549136,0.0003536,-0.0003536,0.1939,,,0.0,,,86.35,,,624.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-1486 b,Kepler-1486,2016.0,Transit,5.99,,,2.32,0.58,-0.29,54.6495759,0.0009825,-0.0009825,0.2846,,,0.0,,,89.98,,,538.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-1471 c,Kepler-1471,2023.0,Transit,4.19,,,1.88,0.28,-0.34,11.6044881,0.000113,-0.000113,0.0981,,,0.0,,,89.74,,,841.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-1537 b,Kepler-1537,2016.0,Transit,1.76,,,1.18,0.06,-0.09,1.444453798,2.334e-06,-2.334e-06,0.0245,,,0.0,,,89.18,,,1800.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-148 b,Kepler-148,2014.0,Transit,3.89,,,1.8,0.87,-0.87,1.729366,4e-06,-4e-06,0.028,,,0.0,,,87.87,,,1284.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-148 c,Kepler-148,2014.0,Transit,12.6,,,3.6,1.76,-1.76,4.180043,4e-06,-4e-06,0.05,,,0.0,,,89.8,,,957.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-1480 b,Kepler-1480,2016.0,Transit,3.43,,,1.67,0.11,-0.08,22.12679948,9.372e-05,-9.372e-05,0.1525,,,0.0,,,86.1,,,721.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-1481 b,Kepler-1481,2016.0,Transit,2.04,,,1.23,0.08,-0.06,5.94220998,2.335e-05,-2.335e-05,0.059,,,0.0,,,89.74,,,797.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
42 Dra b,42 Dra,2008.0,Radial Velocity,1233.13,270.14,-270.14,13.0,,,479.1,6.2,-6.2,1.19,0.01,-0.01,0.38,0.06,-0.06,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
61 Vir c,61 Vir,2009.0,Radial Velocity,18.2,1.1,-1.1,4.46,,,38.021,0.034,-0.034,0.2175,0.0001,-0.0001,0.14,0.06,-0.06,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-5388.01,TOI-5388,2024.0,Transit,4.25,,,1.89426,0.558897,-0.558897,2.594675,,,0.024335855,,,,,,,,,601.35,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-6016 b,TOI-6016,2024.0,Transit,371.85923619,28.60455663,-28.60455663,13.67495645,0.33626942,-0.33626942,4.023687,3e-06,-3e-06,0.055,0.002,-0.002,0.0,,,,,,1890.0,40.0,-40.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-6034 b,TOI-6034,2024.0,Transit,254.0,24.0,-24.0,11.92,0.48,-0.48,2.576184,2e-06,-2e-06,0.02949,0.00043,-0.00044,0.04,0.042,-0.028,87.06,0.22,-0.21,714.0,21.0,-21.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-4914 b,TOI-4914,2024.0,Transit,227.0,13.0,-13.0,12.87,0.36,-0.36,10.60057,1e-05,-1e-05,0.098,0.003,-0.003,0.408,0.023,-0.023,86.35,0.2,-0.22,894.0,20.0,-20.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-771 b,TOI-771,2024.0,Transit,2.47,0.32,-0.31,1.36,0.1,-0.1,2.3260155,1e-06,-9e-07,0.0208,0.0009,-0.001,0.055,0.047,-0.036,89.3,0.5,-0.5,543.0,28.0,-34.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
70 Vir b,70 Vir,1996.0,Radial Velocity,2380.45,193.87,-193.87,12.6,,,116.688,0.0054,-0.0054,0.481,0.022,-0.022,0.3988,0.0019,-0.0019,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HIP 19976 b,HIP 19976,2022.0,Radial Velocity,21.61233168,2.86045566,-5.08525451,4.94,,,50.65905,0.06282,-0.0783,0.234,0.009,-0.01,0.304,0.2,-0.145,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-151 b,K2-151,2018.0,Transit,2.83,,,1.49,0.08,-0.08,3.835476,0.000266,-0.000256,0.0373,0.0002,-0.0002,,,,,,,566.0,6.0,-6.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
EPIC 220492298 b,EPIC 220492298,2021.0,Transit,0.937,,,0.99,0.1,-0.1,0.762406,0.00015,-0.00015,,,,,,,92.6,10.0,-10.0,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-290 b,K2-290,2019.0,Transit,10.9,,,3.06,0.16,-0.16,9.21165,0.00033,-0.00034,0.0923,0.0066,-0.0066,0.0,,,88.14,0.62,-0.5,1230.0,38.0,-38.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-138 g,K2-138,2021.0,Transit,4.32,5.26,-3.03,3.013,0.303,-0.251,41.96797,0.00843,-0.00725,0.23109,0.00154,-0.00196,0.059,0.063,-0.04,89.4,0.4,-0.3,445.0,31.0,-30.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-140 b,K2-140,2017.0,Transit,295.58041851,12.71313628,-12.71313628,13.56286665,1.00880826,-1.00880826,6.569188,3.1e-05,-3.1e-05,0.068,0.001,-0.001,0.0,,,88.3,0.1,-0.1,962.0,28.0,-28.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-141 c,K2-141,2018.0,Transit,8.0,,,7.0,4.6,-2.8,7.7485,0.00022,-0.00022,0.0683,0.00091,-0.00091,0.092,,,87.2,1.6,-2.0,695.0,18.0,-18.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-141 b,K2-141,2018.0,Transit,4.97,0.35,-0.34,1.51,0.05,-0.05,0.2803244,1.5e-06,-1.5e-06,0.00747,0.0001,-0.0001,0.0,,,86.3,2.7,-3.6,2103.0,56.0,-56.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-3364 b,TOI-3364,2023.0,Transit,530.77343969,38.13940884,-41.31769291,12.22899794,0.42594127,-0.35868738,5.8768918,6.9e-06,-6.9e-06,0.0675,0.0011,-0.0016,0.0,,,88.79,0.75,-0.68,1264.0,22.0,-21.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
KMT-2016-BLG-2605L b,KMT-2016-BLG-2605L,2021.0,Microlensing,245.0457018,375.99100548,-127.44919121,14.0,,,,,,0.681,0.102,-0.11,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
24 Sex b,24 Sex,2010.0,Radial Velocity,632.46,82.63,-120.77,13.4,,,452.8,2.1,-4.5,1.333,0.004,-0.009,0.09,0.14,-0.06,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
24 Sex c,24 Sex,2010.0,Radial Velocity,273.32,111.24,-69.92,13.9,,,883.0,32.4,-13.8,2.08,0.05,-0.02,0.29,0.16,-0.09,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,2013.0,Astrometry,9057.77,603.85,-603.85,11.9,,,246.36,1.38,-1.35,0.36,0.01,-0.01,0.345,0.068,-0.064,56.6,1.9,-2.1,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HIP 63242 b,HIP 63242,2013.0,Radial Velocity,2917.56,,,12.5,,,124.6,,,0.565,,,0.23,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-1723 b,TOI-1723,2024.0,Transit,10.4,5.2,-4.8,3.435,0.244,-0.193,13.727012643,1.4705e-05,-1.3355e-05,0.113496,0.004471,-0.004861,0.0,,,,,,782.98,14.53,-14.13,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-1742 b,TOI-1742,2024.0,Transit,9.7,1.9,-1.9,2.36507598,0.05691119,-0.051074,21.269084,5.1e-05,-5.1e-05,0.154,0.003,-0.003,0.3,0.1,-0.1,,,,694.09,11.2,-10.96,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-1716.01,TOI-1716,2024.0,Transit,10.0,,,3.143,0.409,-0.298,8.082376554,2.7701e-05,-2.704e-05,0.080496,0.003333,-0.003633,,,,,,,992.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
2MASS J01225093-2439505 b,2MASS J01225093-2439505,2013.0,Imaging,7786.5,794.5,-794.5,11.209,,,,,,52.0,6.0,-6.0,,,,,,,1600.0,100.0,-100.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
RR Cae b,RR Cae,2012.0,Eclipse Timing Variations,1334.886,127.132,-127.132,13.0,,,4343.5,36.5,-36.5,5.3,0.6,-0.6,0.0,,,17.6,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HAT-P-44 b,HAT-P-44,2014.0,Transit,111.871,9.217,-9.217,13.922,1.188,-0.572,4.301219,1.9e-05,-1.9e-05,0.0507,0.0007,-0.0007,0.044,0.052,-0.052,89.1,0.4,-0.4,1108.0,51.0,-32.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-288 B b,K2-288 B,2018.0,Transit,4.27,,,1.9,0.3,-0.3,31.393463,6.7e-05,-6.9e-05,0.164,0.03,-0.03,,,,89.81,0.13,-0.17,226.36,22.3,-22.3,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-243 c,K2-243,2018.0,Transit,4.7,,,2.01,0.15,-0.13,24.94598,0.00491,-0.00561,0.1817,0.0022,-0.0024,,,,,,,801.0,27.0,-28.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
EPIC 206024342 c,EPIC 206024342,2021.0,Transit,2.54,,,1.4,0.5,-0.5,0.911724,7.6e-05,-7.6e-05,,,,,,,91.7,9.0,-9.0,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HATS-43 b,HATS-43,2018.0,Transit,82.95363,17.16282,-17.16282,13.22662,0.56045,-0.56045,4.3888497,5.9e-06,-5.9e-06,0.04944,0.00046,-0.00046,0.173,0.089,-0.089,89.24,0.29,-0.41,1003.0,27.0,-27.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HATS-45 b,HATS-45,2018.0,Transit,222.481,47.6745,-47.6745,14.414774,1.042437,-1.042437,4.1876244,5.6e-06,-5.6e-06,0.05511,0.00069,-0.00069,0.24,,,85.61,0.42,-0.42,1518.0,45.0,-45.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-11 e,Kepler-11,2010.0,Transit,8.0,1.5,-2.1,4.19,0.07,-0.09,31.9996,0.0008,-0.0012,0.195,0.002,-0.002,0.012,0.006,-0.006,88.89,0.02,-0.02,582.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-161 c,Kepler-161,2014.0,Transit,3.61,0.78,-1.19,2.05,0.15,-0.15,7.06424,1.1e-05,-1.1e-05,0.068,,,0.0,,,88.42,,,769.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-176 c,Kepler-176,2014.0,Transit,1.33,0.4,-0.27,2.6,1.33,-1.33,12.759712,3.3e-05,-3.3e-05,0.102,,,0.0,,,88.25,,,633.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-1972 c,Kepler-1972,2022.0,Transit,2.11,0.59,-0.65,0.868,0.051,-0.05,11.3295,0.0011,-0.0011,0.10493,0.00067,-0.00067,0.043,0.046,-0.028,87.13,0.17,-0.19,1215.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HR 858 b,HR 858,2019.0,Transit,3.55,0.94,-0.96,2.004,0.045,-0.047,3.585287,9e-06,-1.2e-05,0.04888,0.00066,-0.00066,0.0,,,85.98,0.26,-0.25,1552.0,22.0,-23.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
WASP-127 b,WASP-127,2016.0,Transit,52.346601,6.801562,-5.466676,14.694999,0.280225,-0.325061,4.17806203,8.8e-07,-5.3e-07,0.0484,0.00136,-0.00095,0.0,,,87.84,0.36,-0.33,1400.0,24.0,-24.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
WASP-136 b,WASP-136,2016.0,Transit,479.9233,25.4264,-25.4264,15.46842,1.79344,-1.79344,5.215357,6e-06,-6e-06,0.0661,0.0012,-0.0012,0.0,,,84.7,1.6,-1.3,1742.0,82.0,-82.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
LHS 1140 c,LHS 1140,2018.0,Transit,1.91,0.06,-0.06,1.272,0.026,-0.026,3.77794,2e-06,-2e-06,0.027,0.0005,-0.0005,0.05,,,89.8,0.14,-0.19,422.0,7.0,-7.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-178 e,TOI-178,2021.0,Transit,3.86,1.25,-0.94,2.207,0.088,-0.09,9.961881,4.2e-05,-4.2e-05,0.0783,0.0023,-0.0024,,,,88.71,0.16,-0.13,600.0,12.0,-12.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-289 d,Kepler-289,2014.0,Transit,5.33,0.43,-0.42,3.03,0.08,-0.08,66.0282,0.0044,-0.0039,0.33,0.02,-0.02,,,,89.31,0.04,-0.04,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 101581 b,HIP 56998,2025.0,Transit,0.827,,,0.956,0.061,-0.063,4.46569,0.00029,-0.00032,0.046,0.0007,-0.0007,,,,87.78,0.27,-0.2,834.0,23.0,-23.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
CoRoT-8 b,CoRoT-8,2010.0,Transit,69.92,9.53,-9.53,6.39,0.22,-0.22,6.21229,3e-05,-3e-05,0.063,0.001,-0.001,0.0,,,88.4,0.1,-0.1,870.0,14.0,-14.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-261 b,K2-261,2018.0,Transit,68.96876432,7.94571018,-9.2170238,9.26982704,0.36989636,-0.33626942,11.6334681,4.4e-06,-4.4e-06,0.1086,0.0012,-0.0012,0.274,0.065,-0.061,88.58,0.85,-0.57,1036.0,10.0,-10.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-266 c,K2-266,2018.0,Transit,0.29013072,0.17007663,-0.17007663,0.705,0.096,-0.085,7.814,0.0019,-0.0016,0.0679,0.0011,-0.0011,0.042,0.043,-0.03,88.28,0.81,-0.41,664.5,8.0,-7.7,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-114 b,K2-114,2017.0,Transit,638.83509807,38.13940884,-38.13940884,10.59248676,0.32506044,-0.31385146,11.390931,3.1e-06,-3.2e-06,0.0944,0.0013,-0.0011,0.079,0.03,-0.03,89.16,0.18,-0.13,701.4,7.6,-7.7,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-308 b,K2-308,2019.0,Transit,70.6,,,9.916,0.985,-0.985,3.38628,2e-05,-2e-05,,,,,,,88.44,1.09,-1.91,1213.76,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
